country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
Panama,PAN,4046.43,4126.23,4267.29,4592.15,4916.91,5348.88,6166.19,7154.27,7576.14,8082.02,9358.27,10722.26,11889.1,12796.07,13630.3,14343.98,15146.41,15545.0,15774.25
Papua New Guinea,PNG,515.68,491.83,568.25,618.04,749.19,1256.98,1401.95,1672.95,1626.31,1949.35,2406.91,2790.68,2729.89,2920.78,2679.35,2509.63,2695.25,2801.37,2820.31
Paraguay,PRY,1565.05,1300.85,1365.42,1679.5,1843.63,2271.09,2976.84,4047.7,3626.75,4342.07,5326.36,5185.14,5936.98,6118.32,5413.78,5324.61,5678.87,5782.78,5383.57
Peru,PER,1941.48,2021.24,2145.64,2417.03,2729.5,3154.33,3606.07,4220.62,4196.31,5082.35,5869.32,6528.97,6756.75,6672.88,6229.1,6205.0,6710.51,6958.5,7023.08
Philippines,PHL,990.57,1036.16,1048.01,1121.49,1244.35,1452.44,1744.64,1998.03,1904.2,2217.47,2450.74,2694.31,2871.43,2959.65,3001.04,3073.65,3123.25,3252.11,3485.34
Poland,POL,4991.24,5207.17,5701.6,6681.39,8021.51,9035.41,11254.52,13996.03,11526.06,12613.01,13879.56,13097.27,13696.47,14271.31,12578.5,12447.44,13864.68,15468.48,15732.2
Portugal,PRT,11734.76,12936.69,15797.78,18064.16,18780.13,19839.45,22811.06,24949.04,23151.22,22520.64,23217.3,20563.71,21653.2,22103.7,19250.11,19991.97,21490.43,23562.55,23330.82
Puerto Rico,PRI,18123.2,18731.46,19557.12,20988.99,21959.32,22935.94,23664.88,24898.33,25768.73,26435.75,27278.88,27944.73,28513.17,28981.46,29763.49,30627.16,31108.76,31604.7,32850.55
Qatar,QAT,28517.22,30214.67,34517.6,42124.94,51455.95,59530.56,65421.38,80234.19,59094.66,67403.09,82409.94,85075.99,85050.68,83858.34,63039.11,57162.97,59124.87,65907.95,62087.97
Romania,ROU,1825.18,2119.88,2679.41,3494.94,4617.93,5757.5,8360.17,10435.04,8548.12,8214.08,9099.22,8507.1,9547.85,10043.68,8969.15,9548.59,10807.01,12398.98,12899.35
Russian Federation,RUS,2100.35,2377.53,2975.13,4102.36,5323.46,6920.19,9101.25,11635.27,8562.81,10675.0,14311.08,15420.88,15974.64,14095.65,9313.01,8704.9,10720.33,11287.36,11536.25
Rwanda,RWA,238.79,233.16,249.75,273.64,331.7,366.91,438.68,543.57,579.75,609.75,668.53,725.2,722.93,742.97,751.11,744.79,772.29,783.81,820.18
Samoa,WSM,1518.29,1597.38,1878.67,2283.07,2653.0,2763.93,3150.59,3499.46,3402.85,3566.46,3933.46,4022.18,4037.81,3937.19,4073.73,4109.66,4258.98,4187.5,4322.87
San Marino,SMR,38730.8,41464.75,51270.13,59558.77,60900.54,64261.03,72697.71,78643.55,66703.22,60254.78,57297.51,49988.46,51570.98,50817.33,42662.9,43828.23,45399.03,48996.59,47727.13
Sao Tome and Principe,STP,524.67,577.63,678.74,745.32,866.5,883.1,896.87,1098.76,1067.91,1090.26,1254.54,1330.62,1564.77,1770.47,1584.78,1700.1,1813.81,1953.51,1987.58
Saudi Arabia,SAU,8684.65,8695.4,9609.97,11185.14,13791.45,15384.74,16516.63,20078.26,16113.14,19262.55,23745.88,25243.6,24845.12,24464.21,20627.92,19878.77,20802.46,24228.84,23450.56
Senegal,SEN,648.44,681.31,831.83,932.17,992.69,1027.73,1197.41,1403.95,1308.94,1271.58,1366.77,1317.78,1372.67,1396.66,1219.25,1269.9,1361.7,1458.08,1435.83
Serbia,SRB,1727.28,2283.85,3005.43,3502.8,3720.48,4382.62,5848.48,7101.04,6169.11,5735.42,6809.16,6015.95,6755.07,6600.06,5588.98,5765.2,6292.54,7252.4,7417.2
Seychelles,SYC,7663.14,8331.26,8524.96,10176.66,11092.51,12014.4,12154.83,11122.86,9706.96,10804.72,12189.06,11998.42,14764.92,15188.19,15157.5,15740.11,16416.73,16910.67,17252.02
Sierra Leone,SLE,229.38,252.4,266.45,266.57,292.35,323.39,360.37,408.48,391.2,401.83,448.34,566.38,716.84,714.7,588.23,501.42,496.68,533.99,521.75
Singapore,SGP,21700.02,22159.69,23730.15,27608.54,29961.26,33769.15,39432.94,40007.47,38927.21,47236.96,53890.43,55546.49,56967.43,57562.53,55646.62,56860.41,61150.73,66859.34,65831.19
Sint Maarten (Dutch part),SXM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27997.29,28460.33,27942.88,33043.69,32274.89,31616.68,29369.06,28988.26,0.0
Slovak Republic,SVK,5722.17,6564.7,8731.94,10691.45,11690.11,13170.78,16106.06,18753.58,16597.21,16841.77,18430.13,17429.83,18208.42,18655.79,16342.22,16512.29,17538.05,19389.98,19303.55
Slovenia,SVN,10479.76,11777.16,14849.04,17233.14,18098.91,19672.97,23817.89,27595.6,24792.13,23532.48,25128.02,22641.81,23503.28,24247.17,20890.17,21678.36,23514.03,26116.86,25942.95
Solomon Islands,SLB,965.94,795.54,788.63,866.99,1014.72,1119.58,1260.25,1389.06,1428.62,1604.15,1938.78,2141.91,2248.73,2274.97,2167.16,2225.48,2332.9,2411.9,2344.05
Somalia,SOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.17,374.11,386.44,389.82,384.46,389.83,419.39
South Africa,ZAF,2971.82,2797.09,4217.11,5409.13,6033.1,6266.53,6780.88,6350.65,6532.74,8148.96,8810.93,8222.2,7467.08,6988.81,6259.84,5756.97,6690.94,7005.1,6624.76
South Sudan,SSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669.49,1337.88,1535.71,1516.4,1179.74,1779.47,1322.82,1119.65,0.0,0.0,0.0,0.0
Spain,ESP,15369.0,17106.69,21510.84,24907.0,26429.15,28389.08,32591.35,35510.72,32169.5,30532.48,31677.9,28322.81,29067.81,29500.79,25742.37,26523.35,28170.17,30364.58,29554.49
Sri Lanka,LKA,832.8,867.49,982.2,1065.78,1248.7,1435.82,1630.39,2037.32,2090.4,2799.65,3200.86,3350.52,3610.29,3819.25,3843.78,3886.29,4077.04,4059.21,3848.21
St. Kitts and Nevis,KNA,10283.03,10650.85,10270.6,10942.73,11679.41,13614.49,14429.55,16142.04,15931.87,15888.64,16910.57,16564.06,17393.43,18789.63,18717.43,19542.16,20382.78,20567.26,22047.88
St. Lucia,LCA,5642.75,5646.46,6150.92,6591.65,6949.2,7669.21,7969.8,8456.69,8137.75,8540.07,8983.74,9086.39,9378.99,9843.31,10093.62,10362.35,11034.63,11353.72,11591.08
St. Martin (French part),MAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20717.09,0.0,0.0,21459.32,0.0,0.0,0.0,0.0,0.0
St. Vincent and the Grenadines,VCT,4282.69,4512.36,4699.79,5067.27,5339.39,5925.32,6575.96,6758.82,6596.0,6654.79,6590.0,6732.44,7040.63,7081.07,7207.17,7438.79,7717.85,8024.03,8229.72
Sudan,SDN,456.62,512.44,586.75,711.92,914.17,1143.93,1461.32,1551.09,1358.53,1683.21,1947.18,1746.03,1781.01,2022.72,2184.54,2583.45,3178.31,773.51,755.33
Suriname,SUR,1750.58,2267.75,2611.38,3006.18,3590.65,5197.75,5744.76,6831.98,7408.36,8255.87,8263.2,9200.97,9402.16,9471.92,9168.24,5872.79,6295.56,6938.09,6853.69
Sweden,SWE,27247.86,29899.2,37321.8,42821.67,43437.06,46593.6,53700.01,56152.55,46946.96,52869.04,60755.76,58037.82,61126.94,60020.36,51545.48,51965.16,53791.51,54589.06,51939.43
Switzerland,CHE,39727.85,42578.76,49470.4,54878.47,56546.79,59300.62,65359.52,74572.23,72083.17,77117.13,91254.03,86547.67,88109.49,89684.71,84776.14,83073.28,83352.09,86388.4,85334.52
Syrian Arab Republic,SYR,5175.26,5300.58,5494.84,6330.74,7309.11,8069.56,9056.63,10554.08,10589.6,11820.61,3491.95,2158.53,1151.9,1179.86,979.14,713.03,955.84,1265.61,0.0
Tajikistan,TJK,171.05,190.0,237.76,311.63,340.58,408.84,526.64,715.87,676.12,749.55,847.38,969.3,1048.23,1104.17,978.4,807.1,848.67,853.22,890.54
Tanzania,TZA,406.54,411.97,431.28,459.26,492.63,485.5,552.84,687.39,695.22,743.4,781.43,867.86,970.4,1030.08,947.93,966.5,1004.91,1042.84,1085.88
Thailand,THA,1893.26,2096.19,2359.12,2660.13,2894.06,3369.54,3973.02,4379.66,4213.01,5076.34,5492.12,5860.58,6168.26,5951.88,5840.05,5993.31,6593.82,7298.95,7814.38
Timor-Leste,TLS,529.78,508.84,517.83,453.51,464.55,446.47,523.74,614.44,676.62,806.41,936.45,1024.17,1210.04,1232.45,1332.79,1353.75,1299.49,1249.14,1583.71
Togo,TGO,292.82,328.4,396.92,413.33,406.56,408.06,449.74,546.35,540.61,534.04,587.1,571.81,621.4,640.93,570.91,803.15,830.75,901.52,893.35
Tonga,TON,1839.09,1845.67,2030.78,2301.65,2594.42,2873.08,2910.15,3331.55,3006.61,3527.95,4002.81,4581.78,4428.15,4354.24,4336.24,4157.88,4513.43,4740.7,4903.01
Trinidad and Tobago,TTO,6939.83,7053.09,8807.87,10293.87,12327.28,14102.59,16539.89,21204.01,14514.24,16683.39,19034.12,19171.21,20162.73,20290.52,18383.54,16241.41,16747.91,17139.19,17123.12
Tunisia,TUN,2253.03,2344.4,2760.41,3111.37,3193.2,3369.92,3776.33,4307.58,4128.46,4344.62,4479.92,4361.68,4444.85,4543.99,4094.84,3924.35,3687.78,3690.9,3571.95
Turkiye,TUR,3142.92,3687.96,4760.1,6101.63,7456.3,8101.86,9791.88,10941.17,9103.47,10742.77,11420.56,11795.63,12614.78,12157.99,11006.28,10894.6,10589.67,9454.35,9121.52
Turkmenistan,TKM,774.48,967.89,1283.91,1453.92,1704.42,2136.47,2600.37,3904.47,4036.46,4439.2,5649.96,6675.18,7304.29,7962.24,6432.69,6387.68,6587.09,6967.38,7612.04
Turks and Caicos Islands,TCA,16625.49,15785.96,16384.9,18181.09,20533.19,24559.14,25457.98,27650.12,22020.35,21029.7,21839.01,21345.03,21715.31,23778.52,26183.89,28241.48,27545.13,29553.14,31350.87
Tuvalu,TUV,1473.42,1755.69,2000.88,2309.54,2291.64,2381.54,2783.98,3090.05,2696.32,3051.44,3688.64,3662.1,3559.54,3532.28,3316.66,3706.33,3978.68,4156.31,4652.35
Uganda,UGA,239.47,245.5,254.3,296.01,333.73,349.22,403.66,474.52,799.97,822.54,832.57,790.13,810.09,883.53,847.27,736.56,746.83,770.6,798.59
Ukraine,UKR,807.8,911.91,1087.79,1416.6,1894.47,2391.32,3197.93,4066.55,2639.39,3078.43,3704.82,4004.8,4187.74,3104.64,2124.66,2187.73,2638.33,3096.56,3661.46
United Arab Emirates,ARE,31280.76,31567.55,33499.1,36333.19,39365.46,41907.42,41809.46,44498.94,32024.2,33893.28,39194.68,40976.5,42412.64,43751.82,38663.39,38141.88,40644.79,43839.32,42701.44
United Kingdom,GBR,27806.45,30049.9,34487.47,40371.71,42132.09,44654.1,50653.26,47549.35,38952.21,39688.61,42284.88,42686.8,43713.81,47787.24,45404.57,41499.56,40857.76,43646.95,43070.5
United States,USA,37133.62,37997.76,39490.27,41724.63,44123.41,46302.0,48050.22,48570.05,47194.94,48650.64,50065.97,51784.42,53291.13,55123.85,56762.73,57866.74,59914.78,62805.25,65094.8
Uruguay,URY,6284.46,4090.89,3624.21,4120.54,5226.94,5887.85,7026.5,9091.08,9451.93,11992.02,14236.71,15171.58,16973.69,16831.95,15613.75,16715.63,18690.89,18703.86,17688.02
Uzbekistan,UZB,456.71,383.34,396.38,465.12,546.78,654.28,830.41,1082.29,1213.27,1742.35,2051.13,2267.62,2419.72,2628.46,2753.97,2704.68,1916.76,1597.07,1784.01
Vanuatu,VUT,1363.19,1354.1,1580.58,1788.12,1887.23,2049.53,2352.97,2629.05,2573.89,2839.41,3173.82,2997.29,2954.77,2926.68,2695.67,2805.67,3082.54,3125.44,3122.98
"Venezuela, RB",VEN,4986.68,3700.88,3272.62,4325.7,5504.98,6833.38,8454.47,11432.75,11765.1,13825.36,10955.54,12986.22,12457.77,16055.65,0.0,0.0,0.0,0.0,0.0
Vietnam,VNM,404.81,430.05,480.58,546.91,687.48,784.37,906.28,1149.42,1217.27,1673.33,1942.09,2178.04,2354.87,2545.42,2581.62,2745.57,2974.12,3230.93,3425.09
Virgin Islands (U.S.),VIR,0.0,30062.02,31731.26,35006.36,40828.75,41377.15,44158.51,39152.38,38753.18,39905.13,38997.14,37795.32,34597.98,33045.36,34007.35,35324.97,35365.07,36653.86,38596.03
West Bank and Gaza,PSE,1335.55,1156.22,1257.7,1422.19,1543.7,1570.1,1664.25,2035.2,2191.78,2557.08,2880.8,3067.44,3315.3,3352.11,3272.15,3527.61,3620.36,3562.33,3656.86
"Yemen, Rep.",YEM,550.36,579.85,620.38,709.97,832.84,921.42,1017.29,1229.25,1116.08,1334.78,1374.62,1446.54,1607.15,1674.0,1601.81,1152.74,964.34,758.15,750.55
Zambia,ZMB,382.94,382.24,435.46,538.59,702.74,1047.92,1124.29,1394.0,1159.91,1489.46,1672.91,1763.07,1878.35,1762.43,1338.29,1280.81,1535.2,1516.37,1305.0
Zimbabwe,ZWE,568.39,530.53,478.01,483.0,476.56,447.85,431.79,356.69,771.6,948.33,1093.65,1304.97,1430.0,1434.9,1445.07,1464.59,1235.19,1254.64,1316.74
