country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
Denmark,DNK,30751.65,33228.69,40458.78,46511.6,48799.83,52027.0,58487.05,64322.06,58163.28,58041.4,61753.65,58507.51,61191.19,62548.98,53254.86,54664.0,57610.1,61591.93,59775.74
Djibouti,DJI,780.9,791.38,818.87,863.24,904.74,967.68,1052.72,1223.85,1267.32,1343.28,1451.55,1559.24,2312.72,2464.29,2652.51,2803.69,2926.15,3038.27,3172.75
Dominica,DMA,4883.0,4770.85,4897.31,5216.87,5160.89,5518.42,5951.86,6468.94,6903.15,6967.36,7065.46,6849.46,7016.38,7317.49,7597.29,8080.97,7298.51,7745.38,8516.28
Dominican Republic,DOM,2977.43,3110.33,2418.35,2487.33,3932.78,4109.03,4707.8,5087.98,5039.4,5555.39,5913.43,6110.37,6238.13,6608.83,6921.52,7280.88,7609.35,8050.64,8282.12
Ecuador,ECU,1894.62,2172.1,2425.85,2691.28,3002.14,3328.88,3567.84,4249.02,4231.62,4633.59,5200.56,5682.05,6056.33,6377.09,6124.49,6060.09,6213.5,6295.93,6222.52
"Egypt, Arab Rep.",EGY,1378.2,1191.1,1102.47,1062.16,1186.39,1397.44,1667.32,2044.53,2331.27,2645.97,2791.81,3229.69,3262.66,3379.56,3562.93,3519.87,2444.29,2537.13,3019.09
El Salvador,SLV,2072.3,2124.1,2209.5,2278.43,2428.57,2631.82,2786.16,2933.39,2858.48,2983.23,3266.01,3428.41,3509.53,3589.04,3705.58,3806.0,3910.25,4052.62,4167.73
Equatorial Guinea,GNQ,2313.17,2744.19,3618.54,6152.13,10963.41,12857.37,15908.41,22942.61,16668.12,17288.84,21641.7,21711.15,20390.74,19394.08,11283.4,9250.32,9667.86,10005.62,8380.74
Eritrea,ERI,316.82,293.96,334.59,407.77,388.6,415.04,439.83,450.63,595.11,501.36,642.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,EST,4505.86,5341.63,7203.52,8914.1,10412.64,12639.4,16744.58,18204.97,14711.74,14663.04,17487.8,17403.21,19056.0,20261.07,17402.04,18295.34,20437.77,23063.56,23397.88
Eswatini,SWZ,1521.77,1405.45,2148.63,2699.13,3083.84,3176.69,3327.45,3137.39,3385.86,4168.49,4496.61,4527.57,4230.17,4039.16,3680.35,3425.53,3914.42,4107.09,3889.85
Ethiopia,ETH,120.77,111.93,119.49,136.47,162.43,194.69,244.29,326.44,380.57,341.55,354.48,467.08,499.53,566.93,640.54,717.12,768.52,771.52,855.76
Faroe Islands,FRO,24724.46,27021.81,31624.51,35886.92,36756.12,42153.94,48784.89,52034.58,48011.89,48578.6,52267.12,50464.66,55892.29,60484.34,53310.26,58224.81,61455.05,65572.61,67153.68
Fiji,FJI,2030.25,2248.71,2818.91,3311.16,3627.63,3715.93,4040.15,4167.69,3362.82,3652.54,4371.45,4591.58,4840.73,5605.61,5390.71,5651.27,6101.02,6317.41,6175.89
Finland,FIN,24967.79,26997.75,32927.68,37772.18,39054.85,41222.6,48476.39,53772.79,47481.48,46505.3,51148.93,47708.06,49892.22,50327.24,42801.91,43814.03,46412.14,49988.91,48628.64
France,FRA,22452.98,24292.58,29633.68,33803.31,34773.15,36474.16,41561.2,45519.3,41740.24,40677.99,43848.11,40872.36,42605.04,43068.55,36652.92,37062.53,38781.05,41592.8,40578.64
French Polynesia,PYF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19500.1,20020.09,21127.06,22094.76,21512.27
Gabon,GAB,3993.03,4141.43,4933.46,5739.61,6891.36,7221.37,8458.31,10254.17,7721.02,8849.32,10809.68,9813.51,9683.58,9663.42,7384.7,6984.42,7230.43,7959.01,7767.0
"Gambia, The",GMB,505.42,411.77,335.91,642.76,665.72,662.36,780.38,924.51,833.28,860.64,762.76,742.78,700.52,607.43,660.72,690.78,679.76,732.72,772.51
Georgia,GEO,801.99,853.52,1010.01,1305.05,1642.76,1996.06,2635.35,3324.74,2822.67,3233.3,4021.74,4421.82,4623.75,4739.19,4014.19,4062.17,4357.0,4722.04,4696.15
Germany,DEU,23628.33,25197.27,30310.36,34106.66,34520.24,36353.88,41640.08,45612.71,41650.37,41572.46,46705.9,43855.85,46298.92,48023.87,41103.26,42136.12,44652.59,47973.61,46794.9
Ghana,GHA,269.01,304.56,367.82,417.51,492.54,913.39,1081.17,1217.06,1077.66,1299.35,1549.46,1587.56,2361.09,2012.26,1774.07,1971.96,2074.29,2260.86,2246.63
Gibraltar,GIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,GRC,12549.04,14177.57,18518.38,21995.48,22560.15,24821.94,28863.97,32127.98,29828.76,26716.65,25483.88,21913.0,21787.79,21616.71,18083.88,17923.97,18582.09,19756.99,19133.76
