Year,Mean
p_2001,29326991.042857144
p_2002,29701114.58095238
p_2003,30075565.828571428
p_2004,30452495.46190476
p_2005,30831777.457142856
p_2006,31214537.476190478
p_2007,31599503.980952382
p_2008,31990854.22857143
p_2009,32381144.752380952
p_2010,32770477.938095238
p_2011,33158296.88095238
p_2012,33563230.41428571
p_2013,33971974.24285714
p_2014,34381639.442857146
p_2015,34789017.51904762
p_2016,35197291.538095236
p_2017,35604437.72857143
p_2018,36000462.5
p_2019,36385721.27142857
