"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","3014573.3943","2624380.2444","3754799.2615","3776699.7743","4666935.5008","4820078.367","4709746.418","4991348.3112","6332269.92850424","6762429.83343624","8619252.4754","13579436.6703","14531817.156811","15301468.9191023","16608030.6430337","17350942.6234674","18925713.4964686","20796472.3289651","20336548.3692012","22445821.7663006","24328348.9588314","25287604.0278716","25253663.7032","26817505.81545","26838989.33218","26975423.74522","27089232.8571427","27426346.1482643","29021299.9427098","30899435.9944282","32816392.0885141","31770968.2823853","26493959.9925","25222042.5075","24807868.335","26107240.8375","25712732.4975","26752015.8225","28180767.51","30138367.5","31257630.8325","34379848.3275","35583251.67","30275849.16","",
"Australia","AUS","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","2035614364.43901","2227466095.06461","2581218502.14152","3181539617.13811","4416223331.17708","4857291904.67679","5230288770","5479350140","5967000000","6650000000","7400000000","8800000000","9500000000","8800000000","9741000000","8900000000","8771000000","8742000000","10672000000","13140000000","13200000000","13772000000","14085000000","15808000000","16432000000","17358918639.5754","20124000000","20492153950","18368335800","18051400900","19513200000","17825920000","18703300000","22118880000","29169420000","32781000000","34392200000","38025600000","46460000000","43008000000","55880000000","64990000000","75750000000","76343429208.5996","69565654244.5425","66265485442.7527","59237327895.7941","64759451682.6901","69277552962.8778","67771519202.8152","65261462936.0443","",
"Austria","AUT","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","494196280.512","610415417.998","775330046.435","1036766782.625","1273197270.312","1609307545.24","1809479424.732","2117673553.393","2672097052.044","3185085598.558","3532329671.337","3405770575.44","3493625849.819","3470486961.84","3268307390.16","3405964418.08","5044716000","6200000000","6432000000","6298000000","7682000000","8352000000","9212000000","8977000000","10186456236","12240000000","11613000000","11219611976","12303561602.6786","12454800000","10470854258.3951","10666500000","11342000000","13754700000","15420000000","16033500000","17085900000","19438800000","22003800000","22200000000","21330000000","23382000000","21361000000","22767486391.9298","22879080369.5174","19699836913.2863","20343905068.7208","20849912376.5138","22772962547.1632","22418716463.0962","21912650628.7148","",
"Azerbaijan","AZE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65467157.175","49641459.7961707","72405120.66","104515982.802","119539705.614671","149979190.650815","201218203.8626","209201385.7692","204717534.6112","198777319.4806","240955666.4249","298904345.1642","391946562.301","522729572.4158","804273919.1205","1161552154.3255","1402953097.7826","1442491652.137","1572861795.6096","1416304372.92058","1732254824.25795","1904229748.71986","1532380564.01827","1077984877.14653","997849387.686943","1141284052.14791","1178560519.7596","1077741182.99671","",
"Burundi","BDI","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","5230516.49259516","5419109.08896726","6355985.1417","7103581.3368","7734279.3657","9071514.9206","10054453.3327","13140268.6317354","15489904.4456","19308416.6675","22548725.7572646","28984400.001","26840126.0007519","28656236.6563841","22404720.5757","26026894.53","33070263.632","33091534.47","33902973.76","35935669.0036265","36867988.08","39309220.836","38497668.588","37729419.6840244","41114474.541","46436858.6383","34205019.692","38226074.4926704","33947921.7926312","25895113.18225","26676299.8868849","24032464.98684","22565512.37118","21485250.1052437","25172844.7456674","39578868","49950713.3294993","58062872.694999","74750419.443","96339248.0778","128556512.5068","128000261.2147","132394445.454","126977586.858862","139687047.859796","160583021.879033","141396663.690236","142017448.723732","138386055.144613","136516180.528736","147830026.09799","",
"Belgium","BEL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","1110681895.94","1268830706.346","1583632961.232","2318406905.424","2818262713.92804","3520709776.232","3813207946.697","4597055002.815","5508000000","6201000000","6731000000","5775000000","4956389094.096","4515955528.188","4076996150.528","4404976684.554","5880000000","6900000000","7009000000","7095000000","8858000000","9116000000","12274818076","12084000000","13303000000","8526000000","8580000000","7867109719","8049359365","10277410701.7889","11491183897.9459","13505369109.9436","14955986994.1091","17972583607.3943","21018800000","21840000000","23308200000","26855100000","31416000000","30625000000","29768000000","32007600000","31087332729.0583","32676033375.2643","33557967197.74","28304119719.1842","29047726882.2619","30600941296.3283","33140940376.2607","32657131027.7022","31870940836.2945","",
"Benin","BEN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","10264960.9909","11286990.9752","14288116.1815","19670665.3923","20050371.522","24996097.4851","25841105.0428","26994590.658","35307445.9054","39180130.04535","46271578.8584534","42495827.0626843","41633268.2497788","35702946.9713013","33706230.7512926","33801218.3880193","43227739.1216362","50609207.8655019","52642870.1011849","48310263.0072895","63385822.7139934","64526341.890802","53943595.1673842","73736334.9490554","51570392.9493885","53134289.725","62810653.0325663","60732048.5244727","66404650.7047211","92359283.814","94356955.7149","98959268.7172","110400864.5135","149772432.5094","204901674.8184","237105982.1982","243734743.4772","262292962.4419","382256503.5906","417336445.734","454178646.5495","509864964.08625","527152116.0612","583850084.5086","601659882.278","331316926.721583","343714272.814635","368443845.964973","413747658.755787","417919615.275215","454309172.312672","",
"Burkina Faso","BFA","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","7960570.29256749","8368702.74886662","10025149.2894068","10118029.4805","11233190.37","14846417.648","18420012.834263","17776586.48","23431730.336","31306892.49","32718865.992","28256552.592","27907006.512","27033293.427","23278877.936","26295482.802","38587165.987","42717286.7719063","36441167.938","57281128.586","84073752.3383389","84939894.9476326","90887833.0439589","86435267.2008699","54549777.722","51146585.8383489","33714858.255","56245949.725","66668022.597679","89904360.6351562","86550191.5543858","101373192.791473","124134763.494164","174781869.296374","216245121.54377","259714556.4678","275516707.024","201194096.746227","267450040.49235","283298739.668657","316783607.5367","478776255.6395","443214555.1638","563778525.6612","574846323.3993","486733714.5237","528480500.2033","585183172.9369","663220026.6012","660570964.2328","718254102.9194","",
"Bangladesh","BGD","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","43986993.016173","112705737.111","155519354.032","50526484.745","57653133.396","85368133.6353747","108750033.651","127098590.99","144135312.118","131930089.823","144983838.384","175076280","203898115.386","244223833.337","273536290.324","299027236.277","353022820.524","386808665.88","347804032.125","389743630.404","442899831.803","465568427.220676","522684712.018613","621844438.959871","644973536.298","767526505.944644","697506613.98","705302389.184","723187157.147","711350557.2","1051413056.988","1005296599.2904","1120444300.00515","1221510706.22","1516485097.0138","1687498334.0613","1764900000","2224426874.64042","2737025369.2004","2877837610.64738","2915472305.29695","2970924593.97482","2973550529.01322","2912247630.55094","2940213482.91359","2919227415.83344","2854912996.21226","3062707296.56948","",
"Bulgaria","BGR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","663860461.528","747546857.132","690751199.988","593442000","649584333.321","649517999.986","804712941.16","1083687000.006","841127764.688","854066666.68","835820000.004","471963870.96","519219432.996","499940362.342","380198597.8","630750696.414","368842792.011","332751952.574433","442416051.48","417169491.826499","414379167.4386","470297978.1692","534208450.5747","818722654.2075","587487497.76","1141201227.8673","1277445060.4083","1481723964.72","2073872027.52","2125075932.7402","1975183834.4532","2061744959.3922","1912759791.705","2099528167.92422","2195890795.01273","1925811892.0539","2063851350.94282","2304111720.58589","2556839072.23968","2666535119.67352","2729869776.64874","",
