Year,Mean
g_2001,3.4
g_2002,3.32
g_2003,4.02
g_2004,5.98
g_2005,5.09
g_2006,5.9
g_2007,5.84
g_2008,3.91
g_2009,-0.12
g_2010,4.31
g_2011,3.74
g_2012,3.58
g_2013,3.15
g_2014,3.17
g_2015,2.68
g_2016,2.97
g_2017,3.35
g_2018,3.21
g_2019,2.81
