,0
inf_2001,7.4
inf_2002,6.11
inf_2003,5.86
inf_2004,5.16
inf_2005,5.66
inf_2006,5.48
inf_2007,5.43
inf_2008,10.0
inf_2009,4.12
inf_2010,4.07
inf_2011,5.98
inf_2012,5.29
inf_2013,4.04
inf_2014,3.56
inf_2015,3.09
inf_2016,3.12
inf_2017,3.75
inf_2018,3.61
inf_2019,3.33
