,0
une_2001,8.69
une_2002,8.86
une_2003,8.81
une_2004,8.61
une_2005,8.4
une_2006,7.99
une_2007,7.6
une_2008,7.47
une_2009,8.25
une_2010,8.44
une_2011,8.38
une_2012,8.4
une_2013,8.42
une_2014,8.25
une_2015,8.12
une_2016,7.99
une_2017,7.72
une_2018,7.48
une_2019,7.3
