country_name,country_code,p_2001,p_2002,p_2003,p_2004,p_2005,p_2006,p_2007,p_2008,p_2009,p_2010,p_2011,p_2012,p_2013,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,income_group
Paraguay,PRY,5428442.0,5531958.0,5632983.0,5730556.0,5824095.0,5913212.0,5998430.0,6081296.0,6163970.0,6248017.0,6333981.0,6421510.0,6510273.0,6599524.0,6688746.0,6777878.0,6867058.0,6956069.0,7044639.0,High income
"Palestinian Territory, Occupied",PSE,2997784.0,3075373.0,3154969.0,3236626.0,3320396.0,3406334.0,3494496.0,3591977.0,3689099.0,3786161.0,3882986.0,3979998.0,4076708.0,4173398.0,4270092.0,4367088.0,4454805.0,4569087.0,4685306.0,Low income
French Polynesia,PYF,244929.0,248976.0,252707.0,255995.0,258780.0,261007.0,262717.0,264064.0,265256.0,266449.0,267702.0,268995.0,270332.0,271713.0,273119.0,274576.0,276108.0,277673.0,279285.0,High income
Qatar,QAT,615013.0,640872.0,681791.0,753332.0,865410.0,1022704.0,1218441.0,1436670.0,1654944.0,1856329.0,2035862.0,2196078.0,2336579.0,2459202.0,2565708.0,2654379.0,2724727.0,2781682.0,2832071.0,High income
Romania,ROU,22131970.0,21730496.0,21574326.0,21451748.0,21319685.0,21193760.0,20882982.0,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,19371648.0,High income
Russian Federation,RUS,145976482.0,145306497.0,144648618.0,144067316.0,143518814.0,143049637.0,142805114.0,142742366.0,142785349.0,142849468.0,142960908.0,143201721.0,143506995.0,143819667.0,144096870.0,144342397.0,144496739.0,144477859.0,144406261.0,High income
Rwanda,RWA,8231150.0,8427061.0,8557160.0,8680516.0,8840220.0,9043342.0,9273759.0,9524532.0,9782770.0,10039338.0,10293333.0,10549668.0,10811538.0,11083629.0,11369066.0,11668829.0,11980960.0,12301969.0,12626938.0,Low income
Saudi Arabia,SAU,21202646.0,21805322.0,22456645.0,23132686.0,23816175.0,24498313.0,25184589.0,25888535.0,26630303.0,27421468.0,28267591.0,29154906.0,30052058.0,30916603.0,31717676.0,32443443.0,33101183.0,33702757.0,34268529.0,High income
Sudan,SDN,27971077.0,28704786.0,29460517.0,30214189.0,30949514.0,31661824.0,32360619.0,33060844.0,33783779.0,34545014.0,35349676.0,36193781.0,37072555.0,37977657.0,38902948.0,39847433.0,40813398.0,41801532.0,42813237.0,Low income
Senegal,SEN,10036102.0,10283694.0,10541470.0,10810086.0,11090123.0,11382272.0,11687078.0,12004700.0,12335092.0,12678143.0,13033814.0,13401990.0,13782429.0,14174740.0,14578450.0,14993514.0,15419354.0,15854324.0,16296362.0,Low income
